Results from heasarc_atnfpulsar: ATNF Pulsar Catalog
Coordinate system:  Equatorial: P>10 ms and Edot > 1e35
|name          |ra           |dec          |period           |period_error|period_dot |period_dot_error|age     |e_dot  |
|PSR J1732-3131|17 32 33.5400|-31 31 23.000|0.196543154965   |     2.0e-11|2.80483e-14|         1.2e-18|1.11e+05|1.5e+35|
|PSR J0908-4913|09 08 35.4290|-49 13 05.060|0.1067690370814  |     1.2e-12|1.51013e-14|         5.0e-20|1.12e+05|4.9e+35|
|PSR J1906+0746|19 06 48.8600|+07 46 25.900|0.14407315538    |     5.0e-11|2.02678e-14|         1.9e-18|1.13e+05|2.7e+35|
|PSR J1437-5959|14 37 01.9100|-59 59 01.400|0.0616961234035  |     9.0e-13|8.58700e-15|         5.0e-19|1.14e+05|1.4e+36|
|PSR J1740+1000|17 40 25.9500|+10 00 06.300|0.154087174313   |     2.0e-12|2.14651e-14|         2.0e-19|1.14e+05|2.3e+35|
|PSR J1817-1742|18 17 09.0340|-17 42 01.100|0.1497440393996  |     1.6e-12|2.05811e-14|         9.0e-20|1.15e+05|2.4e+35|
|PSR J1925+1720|19 25 27.0310|+17 20 27.310|0.0756589884532  |     1.1e-12|1.04678e-14|         1.1e-19|1.15e+05|9.5e+35|
|PSR J1101-6101|11 01 44.9600|-61 01 39.600|0.062800077      |     6.0e-09|8.60000e-15|         6.0e-16|1.16e+05|1.4e+36|
|PSR J1019-5749|10 19 52.1400|-57 49 05.900|0.162498709997   |     8.0e-12|2.00770e-14|         3.0e-18|1.28e+05|1.8e+35|
|PSR J1831-0952|18 31 34.3040|-09 52 01.700|0.0672668461152  |     1.4e-12|8.32385e-15|         3.0e-20|1.28e+05|1.1e+36|
|PSR J1835-1106|18 35 18.4100|-11 06 16.100|0.16591763484    |     3.0e-11|2.05892e-14|         5.0e-19|1.28e+05|1.8e+35|
|PSR J1650-4601|16 50 18.6200|-46 01 18.600|0.1271228933094  |     1.7e-12|1.51447e-14|         5.0e-20|1.33e+05|2.9e+35|
|PSR J0855-4644|08 55 36.1800|-46 44 13.400|0.0646861308252  |     4.0e-13|7.26269e-15|         3.0e-20|1.41e+05|1.1e+36|
|PSR J1105-6037|11 05 00.4800|-60 37 16.300|0.194938267113   |     4.0e-12|2.18372e-14|         8.0e-20|1.41e+05|1.2e+35|
|PSR J1052-5954|10 52 38.1100|-59 54 44.100|0.180591500693   |     1.0e-11|1.99831e-14|         1.7e-18|1.43e+05|1.3e+35|
|PSR J2240+5832|22 40 42.9390|+58 32 37.520|0.1399345        |     2.0e-06|1.53580e-14|         3.0e-18|1.44e+05|2.2e+35|
|PSR J1833-0827|18 33 40.2680|-08 27 31.600|0.085288151397   |     3.0e-12|9.17697e-15|         6.0e-20|1.47e+05|5.8e+35|
|PSR J1913+0904|19 13 21.0610|+09 04 45.400|0.163245785775   |     1.1e-11|1.76167e-14|         8.0e-19|1.47e+05|1.6e+35|
|PSR J1138-6207|11 38 21.6200|-62 07 59.300|0.117563794023   |     3.0e-12|1.24784e-14|         5.0e-19|1.49e+05|3.0e+35|
|PSR J1509-5850|15 09 27.1560|-58 50 56.010|0.088924862943   |     6.0e-12|9.16633e-15|         1.3e-19|1.54e+05|5.1e+35|
|PSR J0742-2822|07 42 49.0580|-28 22 43.760|0.166762291572   |     2.0e-11|1.68211e-14|         1.4e-19|1.57e+05|1.4e+35|
|PSR J1151-6108|11 51 56.8600|-61 08 17.600|0.101633196293   |     2.0e-12|1.02784e-14|         1.0e-18|1.57e+05|3.9e+35|
|PSR J1739-3023|17 39 39.7900|-30 23 12.920|0.114371728447   |     1.8e-11|1.13951e-14|         3.0e-20|1.59e+05|3.0e+35|
|PSR J1913+1011|19 13 20.3410|+10 11 22.970|0.03590861279827 |     1.5e-13|3.36768e-15|         6.0e-20|1.69e+05|2.9e+36|
|PSR J2032+4127|20 32 13.1190|+41 27 24.310|0.14324647       |     1.9e-07|1.13000e-14|         3.0e-16|2.01e+05|1.5e+35|
|PSR J0734-1559|07 34 00.0000|-15 59 00.000|0.156250         |     0.0e+00|1.22000e-14|         0.0e+00|2.03e+05|1.3e+35|
|PSR J1350-6225|13 50 44.4500|-62 25 43.800|0.1381577782128  |     1.2e-12|8.88351e-15|         4.0e-20|2.46e+05|1.3e+35|
|PSR J0117+5914|01 17 38.6600|+59 14 38.400|0.1014390664824  |     2.0e-12|5.84996e-15|         1.7e-20|2.75e+05|2.2e+35|
|PSR J1412+7922|14 12 55.8670|+79 22 03.895|0.058199071070   |     1.8e-11|3.29134e-15|         3.0e-19|2.80e+05|6.6e+35|
|PSR J1853-0004|18 53 23.0270|-00 04 33.400|0.1014371027339  |     3.0e-13|5.57283e-15|         6.0e-20|2.88e+05|2.1e+35|
|PSR J1512-5759|15 12 43.0400|-57 59 59.800|0.128698573047   |     3.0e-12|6.85270e-15|         4.0e-21|2.98e+05|1.3e+35|
|PSR J0002+6216|00 02 58.1700|+62 16 09.400|0.1153635682680  |     1.4e-12|5.96703e-15|         7.0e-20|3.06e+05|1.5e+35|
|PSR J1359-6038|13 59 58.2480|-60 38 07.550|0.1275084662167  |     4.0e-13|6.33028e-15|         1.2e-20|3.19e+05|1.2e+35|
|PSR J1623-5005|16 23 04.1100|-50 05 15.100|0.0850721461634  |     8.0e-13|4.16118e-15|         3.0e-20|3.24e+05|2.7e+35|
|PSR J1302-6350|13 02 47.6383|-63 50 08.629|0.0477625075     |     4.0e-10|2.27870e-15|         1.2e-18|3.32e+05|8.3e+35|
|PSR J1538-5551|15 38 45.0160|-55 51 36.950|0.1046759019619  |     5.0e-13|3.20705e-15|         7.0e-20|5.17e+05|1.1e+35|
